run_name,evidence_id,true_class,predicted_class,split,image_path,source_batch,source_dataset,confidence_if_available,error_slice,review_action,notes
baseline_001,large_dr_b001_dr_000233,dr_pattern_dominant,normal_or_non_specific,val,train/12734_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.66055793,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000252,dr_pattern_dominant,normal_or_non_specific,val,train/13668_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.90031737,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000253,dr_pattern_dominant,normal_or_non_specific,val,train/13820_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.43673024,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000279,dr_pattern_dominant,normal_or_non_specific,val,train/15351_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.44610342,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000284,dr_pattern_dominant,normal_or_non_specific,val,train/15493_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.43388197,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000298,dr_pattern_dominant,normal_or_non_specific,val,train/16043_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.40529856,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000307,dr_pattern_dominant,normal_or_non_specific,test,train/16445_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.59844154,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000312,dr_pattern_dominant,normal_or_non_specific,test,train/16757_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.60888052,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000317,dr_pattern_dominant,normal_or_non_specific,test,train/16971_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.26585519,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000341,dr_pattern_dominant,normal_or_non_specific,test,train/18759_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.54867470,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000342,dr_pattern_dominant,normal_or_non_specific,test,train/18864_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.42557174,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000344,dr_pattern_dominant,normal_or_non_specific,test,train/19047_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.62139076,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_dr_000357,dr_pattern_dominant,normal_or_non_specific,test,train/19367_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.74412918,dr_pattern_dominant -> normal_or_non_specific,,
baseline_001,large_dr_b001_exudate_000329,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/12410_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.47818345,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000330,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/12434_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.42263687,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000331,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/12434_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.49888211,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000336,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/12590_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.75854766,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000337,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/12628_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.57223856,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000338,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/12672_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.58173633,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000339,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/12672_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.57160342,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000343,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/12835_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.70929456,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000353,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/13112_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.50925124,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000355,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/13308_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.40206727,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000360,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/13605_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.40389174,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000361,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/13684_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.61688203,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000364,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/13931_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.28617424,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000365,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/13931_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.43931705,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000372,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/14336_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.63122684,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000375,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/14466_left.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.74024951,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
baseline_001,large_dr_b001_exudate_000379,exudate_macular_pattern_dominant,mixed_hemorrhage_exudate_pattern,val,train/14811_right.jpeg,large_dr_batch_001_moderate_full_review,Kaggle Diabetic Retinopathy Detection original 82GB train source,0.82241148,exudate_macular_pattern_dominant -> mixed_hemorrhage_exudate_pattern,,
